English-BattleFieldVN01-1  BATTLEFIELD VIETNAM  ; xxx 
English-BattleFieldVN01-76  By 1953, a year into the presidency of Dwight D. Eisenhower  ; xxx 
English-BattleFieldVN01-77  US support for the French war against the Vietminh...  ; xxx 
English-BattleFieldVN01-78  ...had turned into a flood of arms and cash.  ; xxx 
English-BattleFieldVN01-79  The US paid 3/4 of the cost...  ; xxx 
English-BattleFieldVN01-80  ...a staggering one billion dollars in 1954.  ; xxx 
English-BattleFieldVN01-81  The problem was that even with colossal American aid...  ; xxx 
English-BattleFieldVN01-82  ...the French were failing to beat the Vietminh.  ; xxx 
English-BattleFieldVN01-83  The guerrillas now numbered 120,000 trained troops...  ; xxx 
English-BattleFieldVN01-84  ...backed by 200,000 local fighters.  ; xxx 
English-BattleFieldVN01-85  As French casualties passed 50,000...  ; xxx 
English-BattleFieldVN01-86  ...in France the public grew weary of the seemingly endless war.  ; xxx 
English-BattleFieldVN01-87  There were calls for negotiations with the Vietminh.  ; xxx 
English-BattleFieldVN01-88  Pressure for talks grew even greater as the conflict in Korea ended.  ; xxx 
English-BattleFieldVN01-89  But Eisenhower and his Vice President Richard Nixon...  ; xxx 
English-BattleFieldVN01-90  ...were dead set against any compromise.  ; xxx 
English-BattleFieldVN01-91  In spite of US opposition...  ; xxx 
English-BattleFieldVN01-92  ...some kind of peace effort in Indochina looked inevitable.  ; xxx 
English-BattleFieldVN01-93  The hope was that the French might win a major battlefield victory...  ; xxx 
English-BattleFieldVN01-94  ...and so strengthen their hand in any talks.  ; xxx 
English-BattleFieldVN01-95  The result was a plan for a big offensive in late 1953.  ; xxx 
English-BattleFieldVN01-96  The main effort would be in Southern Vietnam  ; xxx 
English-BattleFieldVN01-97  but the French also meant to launch a blocking operation in the North...  ; xxx 
English-BattleFieldVN01-98  ...that just might deliver a major victory.  ; xxx 
English-BattleFieldVN01-99  By now vast tracts of French Indochina...  ; xxx 
English-BattleFieldVN01-100  ...had fallen under Vietminh control.  ; xxx 
English-BattleFieldVN01-101  In the Northeast of Vietnam the only French territory...  ; xxx 
English-BattleFieldVN01-102  ...was an enclave around Hanoi.  ; xxx 
English-BattleFieldVN01-103  The insurgence main military stronghold was on the Viet Bac...  ; xxx 
English-BattleFieldVN01-104  ...a mountainous region near the Chinese border.  ; xxx 
English-BattleFieldVN01-105  To the Vietminh, already in control of vast areas of Laos...  ; xxx 
English-BattleFieldVN01-106  ...its royal capital, Luang Prabang offered a tempting target  ; xxx 
English-BattleFieldVN01-107  and the French were keenly aware of the danger.  ; xxx 
English-BattleFieldVN01-108  The French plan was to create at Dien Bien Phu deep in hostile territory...  ; xxx 
English-BattleFieldVN01-109  a  fortified base which would threaten the enemy supply lines to Laos.  ; xxx 
English-BattleFieldVN01-110  Just as important, the fort might act as bait...  ; xxx 
English-BattleFieldVN01-111  ...luring the Vietminh to attack with their best troops.  ; xxx 
English-BattleFieldVN01-112  The base could be supplied from Laos overland...  ; xxx 
English-BattleFieldVN01-113  ...and it could also be reinforced by air.  ; xxx 
English-BattleFieldVN01-114  The result they hoped for would be a set-piece battle that would allow...  ; xxx 
English-BattleFieldVN01-115  ...superior French firepower to inflict a decisive defeat on the Vietminh.  ; xxx 
English-BattleFieldVN01-116  In late November 1953  ; xxx 
English-BattleFieldVN01-117  the Vietminh 316th division advanced towards Laos  ; xxx 
English-BattleFieldVN01-118  just as the French had expected.  ; xxx 
English-BattleFieldVN01-119  On November 20th, 800 elite French paratroopers...  ; xxx 
English-BattleFieldVN01-120  ...including a battalion of the Foreign legion...  ; xxx 
English-BattleFieldVN01-121  ...would drop near Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-122  The reaction of the Vietminh was to march elements of five more divisions...  ; xxx 
English-BattleFieldVN01-123  ...towards the French camp.  ; xxx 
English-BattleFieldVN01-124  The French paratroopers at Dien Bien Phu...  ; xxx 
English-BattleFieldVN01-125  ...quickly set about building fortifications and an air strip.  ; xxx 
English-BattleFieldVN01-126  The idea was to mount offensive sweeps into the surrounding area...  ; xxx 
English-BattleFieldVN01-127  ...but soon the French were forced to think again.  ; xxx 
English-BattleFieldVN01-128  As the Vietminh massed around the base...  ; xxx 
English-BattleFieldVN01-129  ...it became suicidal to venture far outside.  ; xxx 
English-BattleFieldVN01-130  Within two months, as the noose around Dien Bien Phu was drawn ever tighter...  ; xxx 
English-BattleFieldVN01-131  ...even a fighting withdrawal was no longer an option for the French.  ; xxx 
English-BattleFieldVN01-132  Even though his forces were now surrounded...  ; xxx 
English-BattleFieldVN01-133  the French commander, Col. Christian De Castries was completely confident.  ; xxx 
English-BattleFieldVN01-134  He was certain that aircraft could supply all the base's needs.  ; xxx 
English-BattleFieldVN01-135  Only enemy artillery posed any real danger.  ; xxx 
English-BattleFieldVN01-136  Some Vietminh guns had begun to fire on the base...  ; xxx 
English-BattleFieldVN01-137  ...but the French were sure that only a handful...  ; xxx 
English-BattleFieldVN01-138  ...could have been deployed in such difficult hilly terrain.  ; xxx 
English-BattleFieldVN01-139  As for Vietminh's supplies and reinforcements...  ; xxx 
English-BattleFieldVN01-140  ...French air power would make sure they never reached Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-141  Even though up to 100 French planes attacked Vietminh supply routes every day...  ; xxx 
English-BattleFieldVN01-142  ...their efforts were having little effect.  ; xxx 
English-BattleFieldVN01-143  Too often, aircraft were grounded by the weather  ; xxx 
English-BattleFieldVN01-144  and in any case, the Vietminh were masters of camouflage...  ; xxx 
English-BattleFieldVN01-145  and deployed huge numbers of antiaircraft guns.  ; xxx 
English-BattleFieldVN01-146  In a massive effort over several months...  ; xxx 
English-BattleFieldVN01-147  Gen. Vo Nguyen Giap, the Vietminh commander used 50,000 support troops...  ; xxx 
English-BattleFieldVN01-148  ...to deploy more than 200 artillery pieces and antiaircraft guns...  ; xxx 
English-BattleFieldVN01-149  ...and a vast supply of ammunition around Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-150  It was one of the most extraordinary feats of logistics in military history.  ; xxx 
English-BattleFieldVN01-151  To the 10,000 French now inside the base, the realization...  ; xxx 
English-BattleFieldVN01-152  ...that they were surrounded by field guns and mortars...  ; xxx 
English-BattleFieldVN01-153  ...and 4 deadly soviet Katusha rocket systems came as a dreadful shock.  ; xxx 
English-BattleFieldVN01-154  The French base at Dien Bien Phu had been sited on a flat valley floor  ; xxx 
English-BattleFieldVN01-155  The airstrip and headquarters were the focus...  ; xxx 
English-BattleFieldVN01-156  ...for the main battle position:  ; xxx 
English-BattleFieldVN01-157  A complex of five strongholds codenamed...  ; xxx 
English-BattleFieldVN01-158  Françoise, Huguette, Claudine Eliane, Domininque  ; xxx 
English-BattleFieldVN01-159  To break up attacks, strong points Anne Marie  ; xxx 
English-BattleFieldVN01-160  Gabrielle, Beatrice and Isabelle...  ; xxx 
English-BattleFieldVN01-161  ...had been created on a series of low hills.  ; xxx 
English-BattleFieldVN01-162  The base was manned by nine infantry battalions...  ; xxx 
English-BattleFieldVN01-163  ...and two crack parachute battalions.  ; xxx 
English-BattleFieldVN01-164  For support there were artillery and mortars...  ; xxx 
English-BattleFieldVN01-165  ...by tanks and fighter bombers.  ; xxx 
English-BattleFieldVN01-166  By early march 1954...  ; xxx 
English-BattleFieldVN01-167  49,000 Vietminh had deployed around Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-168  3 infantry divisions and 2 independent regiments...  ; xxx 
English-BattleFieldVN01-169  ...were supported by the field guns of the 351st heavy division...  ; xxx 
English-BattleFieldVN01-170  ...on the hills to the East, and by heavy mortars on all sides.  ; xxx 
English-BattleFieldVN01-171  Anti aircraft guns were secretly placed...  ; xxx 
English-BattleFieldVN01-172  ...to cover the air routes in and out of the valley.  ; xxx 
English-BattleFieldVN01-173  As the weeks went on, Vietminh artillery caused more and more casualties...  ; xxx 
English-BattleFieldVN01-174  ...amongst the French at Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-175  The fortifications had never been meant to withstand heavy artillery...  ; xxx 
English-BattleFieldVN01-176  ...and the French were horrified to find that neither counter battery fire...  ; xxx 
English-BattleFieldVN01-177  ...nor air strikes were able to silence the enemy guns.  ; xxx 
English-BattleFieldVN01-178  They were too well dug in to hill side caves and bunkers...  ; xxx 
English-BattleFieldVN01-179  ...and too well camouflaged.  ; xxx 
English-BattleFieldVN01-180  Any day now, the French knew, they would face an all out enemy attack.  ; xxx 
English-BattleFieldVN01-181  It came on march 13th, 1954.  ; xxx 
English-BattleFieldVN01-182  The Vietminh assault began with a massive artillery bombardment.  ; xxx 
English-BattleFieldVN01-183  French gun positions in the central area were hammered.  ; xxx 
English-BattleFieldVN01-184  In three days after repeated human wave assaults...  ; xxx 
English-BattleFieldVN01-185  ...and hopeless French counter attacks  ; xxx 
English-BattleFieldVN01-186  The Vietminh took the northern strong points of Beatrice, Gabrielle and Anne Marie.  ; xxx 
English-BattleFieldVN01-187  The loss of their northern outposts cost the French 1,500 men.  ; xxx 
English-BattleFieldVN01-188  The Vietminh had suffered much worse nearly 7,000 killed and wounded...  ; xxx 
English-BattleFieldVN01-189  ...but they had proved that the French defenses could be overcome.  ; xxx 
English-BattleFieldVN01-190  They had also closed down the base's main airfield for good.  ; xxx 
English-BattleFieldVN01-191  The French would now have to depend on parachute drops for supply and reinforcement.  ; xxx 
English-BattleFieldVN01-192  After a two week low, the Vietminh renewed their offensive.  ; xxx 
English-BattleFieldVN01-193  The battle raged for a fortnight...  ; xxx 
English-BattleFieldVN01-194  ...with the French contesting every foot of ground.  ; xxx 
English-BattleFieldVN01-195  In the end, shocking Vietminh casualties forced Gen. Giap to pause.  ; xxx 
English-BattleFieldVN01-196  Meanwhile, the French situation was getting desperate.  ; xxx 
English-BattleFieldVN01-197  Ammunition and food was short  ; xxx 
English-BattleFieldVN01-198  ...and 3,000 wounded were trapped inside the base in appalling conditions.  ; xxx 
English-BattleFieldVN01-199  With disaster looming on the battlefield...  ; xxx 
English-BattleFieldVN01-200  ...the French appealed to the U.S. for help.  ; xxx 
English-BattleFieldVN01-201  There was a plan to use American bombers and even to drop 4 nuclear weapons  ; xxx 
English-BattleFieldVN01-202  which was codenamed Operation Vulture.  ; xxx 
English-BattleFieldVN01-203  But Eisenhower ruled out any American military intervention...  ; xxx 
English-BattleFieldVN01-204  ...unless other allies took part.  ; xxx 
English-BattleFieldVN01-205  None agreed to help.  ; xxx 
English-BattleFieldVN01-206  The French at Dien Bien Phu were to be left to their fate.  ; xxx 
English-BattleFieldVN01-207  Although the outpost Isabelle was still on French hands  ; xxx 
English-BattleFieldVN01-208  it was by now cut off from the central stronghold at Dien Bien Phu.  ; xxx 
English-BattleFieldVN01-209  Besieged by the Vietminh 304th division...  ; xxx 
English-BattleFieldVN01-210  ...Isabelle was under heavy artillery fire.  ; xxx 
English-BattleFieldVN01-211  Incredibly, although attacked time and time again  ; xxx 
English-BattleFieldVN01-212  the post would hold out until the very end of the battle.  ; xxx 
English-BattleFieldVN01-213  In the central sector, strong point Françoise had been abandoned...  ; xxx 
English-BattleFieldVN01-214  ...and the Vietminh had captured Dominique along with part of Eliane and Huguette.  ; xxx 
English-BattleFieldVN01-215  However, there were two new strong points: Sparrowhawk and Juno.  ; xxx 
English-BattleFieldVN01-216  Meanwhile, the Vietminh had adopted new tactics...  ; xxx 
English-BattleFieldVN01-217  ...in an attempt to reduce their terrible casualties.  ; xxx 
English-BattleFieldVN01-218  Secretly they had dug more than 50 miles of trenches...  ; xxx 
English-BattleFieldVN01-219  ...creeping right up to the French perimeter.  ; xxx 
English-BattleFieldVN01-220  The final Vietminh assault came on the night of may first 1954.  ; xxx 
English-BattleFieldVN01-221  After a massive barrage  ; xxx 
English-BattleFieldVN01-222  the Vietminh infantry hit the remaining bunkers of Huguette and Eliane.  ; xxx 
English-BattleFieldVN01-223  In spite of fierce French resistance  ; xxx 
English-BattleFieldVN01-224  positions fell one by one until on the evening of the sixth day...  ; xxx 
English-BattleFieldVN01-225  ...a huge mine demolished part of Eliane...  ; xxx 
English-BattleFieldVN01-226  ...and its last bunkers were overrun.  ; xxx 
English-BattleFieldVN01-227  At 5:30 PM of may 7th 1954 ...  ; xxx 
English-BattleFieldVN01-228  ...Vietnamese forces occupied the French command post...  ; xxx 
English-BattleFieldVN01-229  ...and the French commander ordered his troops to cease fire.  ; xxx 
English-BattleFieldVN01-230  It was 55 days to the minute since the battle had begun.  ; xxx 
English-BattleFieldVN01-231  At Dien Bien Phu, 3,000 French troops had been killed...  ; xxx 
English-BattleFieldVN01-232  ...and 8,000 wounded.  ; xxx 
English-BattleFieldVN01-233  The Vietminh had suffered much worse with more than 8,000 dead...  ; xxx 
English-BattleFieldVN01-234  ...and 12,000 wounded.  ; xxx 
English-BattleFieldVN01-235  but for them the outcome had still been a triumph.  ; xxx 
English-BattleFieldVN01-236  On the eve of an international conference on Indochina  ; xxx 
English-BattleFieldVN01-237  they had shuttered France's resolve to carry on the war.  ; xxx 
English-BattleFieldVN01-238  The Vietminh expected that the negotiations at Geneva  ; xxx 
English-BattleFieldVN01-239  would open the way for full Vietnamese independence...  ; xxx 
English-BattleFieldVN01-240  ...and a major role for them in running the new country.  ; xxx 
English-BattleFieldVN01-241  In fact, the Vietminh negotiators faced bitter disappointment.  ; xxx 
English-BattleFieldVN01-242  Behind closed doors, Chinese prime minister Zhou Enlai...  ; xxx 
English-BattleFieldVN01-243  ...struck a deal with the French and forced Ho Chi Minh...  ; xxx 
English-BattleFieldVN01-244  ...to agree that the country be divided into 2 zones.  ; xxx 
English-BattleFieldVN01-245  There was to be a cease fire  ; xxx 
English-BattleFieldVN01-246  but there would be no immediate decision about...  ; xxx 
English-BattleFieldVN01-247  who was going to control Vietnam until elections settled the future.  ; xxx 
English-BattleFieldVN01-248  After Dien Bien Phu, the Vietminh had controlled 3/4 of Vietnam...  ; xxx 
English-BattleFieldVN01-249  ...and parts of Laos and Cambodia.  ; xxx 
English-BattleFieldVN01-250  At the peace conference Laos and Cambodia were confirmed as independent states...  ; xxx 
English-BattleFieldVN01-251  ...but Vietnam was divided at the 17th parallel.  ; xxx 
English-BattleFieldVN01-252  The Vietminh were given control of the northern part...  ; xxx 
English-BattleFieldVN01-253  ...the Democratic Republic of Vietnam with its capital in Hanoi.  ; xxx 
English-BattleFieldVN01-254  In the South, the state of Vietnam was to be run from Saigon.  ; xxx 
English-BattleFieldVN01-255  A Demilitarized Zone was established between the two regions.  ; xxx 
English-BattleFieldVN01-256  By agreement 190,000 French led troops...  ; xxx 
English-BattleFieldVN01-257  ...would be withdrawn from North to South Vietnam.  ; xxx 
English-BattleFieldVN01-258  80,000 Vietminh troops in the South, mostly Southerners...  ; xxx 
English-BattleFieldVN01-259  ...would go to the North.  ; xxx 
English-BattleFieldVN01-260  For the French, the prospect of withdrawing...  ; xxx 
English-BattleFieldVN01-261  ...from the Northern part of Vietnam was deeply humiliating.  ; xxx 
English-BattleFieldVN01-262  However, they still assumed France would continue to play...  ; xxx 
English-BattleFieldVN01-263  ...a major role in the South.  ; xxx 
English-BattleFieldVN01-264  The illusion would not last for long.  ; xxx 
English-BattleFieldVN01-265  France's role was already being taken over by the United States.  ; xxx 
English-BattleFieldVN01-266  On September 8 1954, at a conference in the Philippines...  ; xxx 
English-BattleFieldVN01-267  the U.S. sponsored the creation of the South East Asia Treaty Organization...  ; xxx 
English-BattleFieldVN01-268  ...which would soon include South Vietnam.  ; xxx 
English-BattleFieldVN01-269  The Americans were now dealing directly...  ; xxx 
English-BattleFieldVN01-270  with the new South Vietnamese Government led by Prime Minister Ngo Dinh Diem.  ; xxx 
English-BattleFieldVN01-271  They had begun to bypass the French completely.  ; xxx 
English-BattleFieldVN01-272  On October 9th, 1954...  ; xxx 
English-BattleFieldVN01-273  ...the Vietminh 308th division, veterans of Dien Bien Phu...  ; xxx 
English-BattleFieldVN01-274  ...marched in triumph into Hanoi in accordance with the Geneva agreement.  ; xxx 
English-BattleFieldVN01-275  At the same time, the last French troops in the North prepared to leave.  ; xxx 
English-BattleFieldVN01-276  With them went 850,000 refugees...  ; xxx 
English-BattleFieldVN01-277  ...encouraged by a CIA black propaganda campaign...  ; xxx 
English-BattleFieldVN01-278  ...and fearing for their future under Vietminh rule.  ; xxx 
English-BattleFieldVN01-279  Before the very eyes of the French and the Vietnamese people...  ; xxx 
English-BattleFieldVN01-280  Vietnam was crystallizing into two separate states each with its own government  ; xxx 
English-BattleFieldVN01-281  ...its own army and its own cold war allies.  ; xxx 
English-BattleFieldVN01-282  THE LEADERS – North Vietnam  ; xxx 
English-BattleFieldVN01-283  For Ho Chi Minh, the North Vietnamese president...  ; xxx 
English-BattleFieldVN01-284  ..the years following the Geneva agreement were bitterly disappointing.  ; xxx 
English-BattleFieldVN01-285  Ho was adored by millions of Vietnamese North and South...  ; xxx 
English-BattleFieldVN01-286  ...as the man who had driven out the French.  ; xxx 
English-BattleFieldVN01-287  But he had only won half the victory...  ; xxx 
English-BattleFieldVN01-288  ...South Vietnam, backed by the U.S. refused to hold the elections...  ; xxx 
English-BattleFieldVN01-289  ...that had been agreed at Geneva.  ; xxx 
English-BattleFieldVN01-290  The Elections Ho had counted on...  ; xxx 
English-BattleFieldVN01-291  ... and which the U.S. knew he would win to reunify the country.  ; xxx 
English-BattleFieldVN01-292  Everything pointed to the fact...  ; xxx 
English-BattleFieldVN01-293  ...that the division of Vietnam would be permanent.  ; xxx 
English-BattleFieldVN01-294  As a nationalist and founder of the Indochinese communist party...  ; xxx 
English-BattleFieldVN01-295  ...Ho Chi Minh was fast transforming North Vietnam.  ; xxx 
English-BattleFieldVN01-296  The party took control of almost every sphere of life.  ; xxx 
English-BattleFieldVN01-297  The reconstruction of the war ravaged economy...  ; xxx 
English-BattleFieldVN01-298  ...was pushed ahead at incredible speed.  ; xxx 
English-BattleFieldVN01-299  One of Ho Chi Minh's highest priorities...  ; xxx 
English-BattleFieldVN01-300  ...was to get as much aid for North Vietnam as he could...  ; xxx 
English-BattleFieldVN01-301  ...from the Soviet Union and China.  ; xxx 
English-BattleFieldVN01-302  In July 1955 in Moscow, he won promises of cash help for the North...  ; xxx 
English-BattleFieldVN01-303  ...to stave off a food crisis  ; xxx 
English-BattleFieldVN01-304  The Russians also pledged to send technicians and military advisors.  ; xxx 
English-BattleFieldVN01-305  at the same time China meant to match or even better the Soviet offer.  ; xxx 
English-BattleFieldVN01-306  Although Ho Chi Minh's biggest ambition was to reunify North and South Vietnam...  ; xxx 
English-BattleFieldVN01-307  ...so far he had urged his followers to be patient.  ; xxx 
English-BattleFieldVN01-308  He had refused to back guerrilla warfare against the South.  ; xxx 
English-BattleFieldVN01-309  Both China and the Soviet Union were also insisting on caution.  ; xxx 
English-BattleFieldVN01-310  But by 1958, pressure to back an armed campaign was mounting.  ; xxx 
English-BattleFieldVN01-311  The tens of thousands of Southern Vietminh soldiers...  ; xxx 
English-BattleFieldVN01-312  ...who came North after the Geneva accords were by now restless and homesick.  ; xxx 
English-BattleFieldVN01-313  There was more pressure from inside the South where the Vietminh that had stayed behind...  ; xxx 
English-BattleFieldVN01-314  ...were being wiped out by the new regime.  ; xxx 
English-BattleFieldVN01-315  In the Northern government an increasingly powerful faction of Southerners...  ; xxx 
English-BattleFieldVN01-316  led by Le Duan, the Communist Party General Secretary  ; xxx 
English-BattleFieldVN01-317  was also arguing for strong measures.  ; xxx 
English-BattleFieldVN01-318  In January 1959 with Ho Chi Minh's blessing...  ; xxx 
English-BattleFieldVN01-319  ...the North Vietnamese Communist Party...  ; xxx 
English-BattleFieldVN01-320  ...voted to support armed revolution in South Vietnam.  ; xxx 
English-BattleFieldVN01-321  To help the campaign, 4,500 Vietminh Southerners...  ; xxx 
English-BattleFieldVN01-322  ...were prepared for infiltration back into the South.  ; xxx 
English-BattleFieldVN01-323  THE LEADERS – South Vietnam / United States  ; xxx 
English-BattleFieldVN01-324  By 1957, two years after taking power in South Vietnam  ; xxx 
English-BattleFieldVN01-325  Ngo Dinh Diem had impressed the United States.  ; xxx 
English-BattleFieldVN01-326  He had used the army forcibly against gangsters and armed religious groups.  ; xxx 
English-BattleFieldVN01-327  It had looked for a while as if President Diem could create...  ; xxx 
English-BattleFieldVN01-328  ...a viable non-communist state in South Vietnam...  ; xxx 
English-BattleFieldVN01-329  ...and win the support of the Southern people.  ; xxx 
English-BattleFieldVN01-330  In fact Diem had no intention of introducing the democracy...  ; xxx 
English-BattleFieldVN01-331  ...or the social reforms that the United States wanted.  ; xxx 
English-BattleFieldVN01-332  He unleashed a savage campaign against his political opponents...  ; xxx 
English-BattleFieldVN01-333  ...using the army and Police to make mass arrests.  ; xxx 
English-BattleFieldVN01-334  There was widespread torture and summary executions.  ; xxx 
English-BattleFieldVN01-335  At the same time Diem's own family built up enormous wealth and power...  ; xxx 
English-BattleFieldVN01-336  ...while most of the South Vietnamese continued to live in dire poverty.  ; xxx 
English-BattleFieldVN01-337  By September 1960 to the immense frustration of the United States...  ; xxx 
English-BattleFieldVN01-338  ...which was pouring in aid  ; xxx 
English-BattleFieldVN01-339  Diem's regime was detested by vast numbers of South Vietnamese.  ; xxx 
English-BattleFieldVN01-340  There was already virtual civil war...  ; xxx 
English-BattleFieldVN01-341  ... with armed rebellions breaking out all over the country.  ; xxx 
English-BattleFieldVN01-342  Increasingly the revolts were being led by nationalist and communist guerrillas...  ; xxx 
English-BattleFieldVN01-343  ...and some trained men infiltrated down from the North.  ; xxx 
English-BattleFieldVN01-344  Over 12 months 1,400 local government officials and civilians...  ; xxx 
English-BattleFieldVN01-345  ...were killed, and a further 700 kidnapped.  ; xxx 
English-BattleFieldVN01-346  In South Vietnam the guerrillas began to mount bold attacks...  ; xxx 
English-BattleFieldVN01-347  ...on military posts, convoys and railways.  ; xxx 
English-BattleFieldVN01-348  As events in South Vietnam spiraled towards chaos...  ; xxx 
