Tiếng Anh Lớp 3(Tập 2) :: Welcome to Toomva.com::Chào _ ừng đến _ ới Toomva.com ; Chào mừng đến với Toomva.com
Tiếng Anh Lớp 3(Tập 2) :: 2. Hello, I'm Linda - Hi Linda I'm Hakim - Nice to meet you Hakim::2. Xin chào, tớ là Lin_ a - C_ _ o Linda, _ ớ là Hakim- rất vui được gặ_  _ _ u, Hak_ m ; 2. Xin chào, tớ là Linda - Chào Linda, tớ là Hakim- rất vui được gặp cậu, Hakim
Tiếng Anh Lớp 3(Tập 2) :: Where are you from? - I'm from Malaysia::Cậ_  đến t_  đâ_ ? - Tớ đến t_  Mala_ sia ; Cậu đến từ đâu? - Tớ đến từ Malaysia
Tiếng Anh Lớp 3(Tập 2) :: 3. Hello, I'm Linda - Hi Linda, Nice to meet you, My name's Tony::3. X_ n c_ _ _ , _ ớ _ à Linda - Ch_ o Lin_ a, t_  là T_ _ _  ; 3. Xin chào, tớ là Linda - Chào Linda, tớ là Tony
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you Tony? - I'm Australian::Quốc tịch _ ủa cậ_  l_  g_ ? - Tớ là ng_ ời Úc ; Quốc tịch của cậu là gì? - Tớ là người Úc
Tiếng Anh Lớp 3(Tập 2) :: 4. Hello, I'm Nam, what's your name? - My name's Akiko::4. C_ _ _ , tớ là Nam, t_ n cậ_  là gì? - Tên tớ là Akiko ; 4. Chào, tớ là Nam, tên cậu là gì? - Tên tớ là Akiko
Tiếng Anh Lớp 3(Tập 2) :: Nice to meet you Akiko, What nationality are you? - I'm Japanese::R_ _  vu_  đượ_  gặp _ ậu _ _ _ _ o, qu_ c tịch của cậu l_  gì? - _ ớ là người N_ ật B_ _  ; Rất vui được gặp cậu Akiko, quốc tịch của cậu là gì? - Tớ là người Nhật Bản
Tiếng Anh Lớp 3(Tập 2) :: Page 15: Lesson 3: Activity 1: Listen and repeat::Trang 15: Bài 3: Hoạt độ_ g 1: Ng_ e và nhắc lại ; Trang 15: Bài 3: Hoạt động 1: Nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: J-Japan I'm from Japan::J - _ ap_ _  Tô_  đến _ ừ Ja_ an ; J - Japan Tôi đến từ Japan
Tiếng Anh Lớp 3(Tập 2) :: V- Vietnamese I'm Vietnamese::_ - Vi_ tna_ ese Tô_  l_  ngư_ i Việt Na_  ; V- Vietnamese Tôi là người Việt Nam
Tiếng Anh Lớp 3(Tập 2) :: Page 16: Lesson 3: Activity 2: Listen and Check then say aloud::Trang 16: Bài 3: Hoạt đ_ ng 2: Nghe v_  kiểm tra _ ồi nói to ; Trang 16: Bài 3: Hoạt động 2: Nghe và kiểm tra rồi nói to
Tiếng Anh Lớp 3(Tập 2) :: 1. Hi, I'm Akiko, I'm from Tokyo, I'm Japanese::1. C_ _ _ , _ ớ là A_ i_ _ , tớ đến từ Tokyo, t_  là ngư_ i _ _ ật Bản ; 1. Chào, tớ là Akiko, tớ đến từ Tokyo, tớ là người Nhật Bản
Tiếng Anh Lớp 3(Tập 2) :: 2. Hello, my name's Quan, I'm from Vietnam::2. Chào, tớ _ à Quâ_ , t_  đến từ _ iệt N_ m ; 2. Chào, tớ là Quân, tớ đến từ Việt Nam
Tiếng Anh Lớp 3(Tập 2) :: Page 16: Activity 3: Let's chant: What nationality are you?::Trang 16: Hoạt đ_ _ g 3: Cùn_  đọc vang: _ uố_  tịch của b_ n l_  gì? ; Trang 16: Hoạt động 3: Cùng đọc vang: Quốc tịch của bạn là gì?
Tiếng Anh Lớp 3(Tập 2) :: One, Two, three, four, Hello, what's your name? - My name's Mai::Một, ha_ , ba, bốn, Xin ch_ o, tên c_ u là gì? - T_  tên là M_ i ; Một, hai, ba, bốn, Xin chào, tên cậu là gì? - Tớ tên là Mai
Tiếng Anh Lớp 3(Tập 2) :: What are you from? - I'm from Vietnam, Vietnam::Bạn đến từ đâ_ ? - Tớ đến t_  Vi_ _  Nam, Việ_  N_ m ; Bạn đến từ đâu? - Tớ đến từ Việt Nam, Việt Nam
Tiếng Anh Lớp 3(Tập 2) :: Where in Vietnam? - Hanoi, Hanoi::Ở _ âu ở V_ _ t Nam? - _ à Nội, _ à _ _ i ; Ở đâu ở Việt Nam? - Hà Nội, Hà Nội
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you? - Vietnamese Vietnamese::_ uốc tịc_  c_ a bạn là gì? - _ i_ _  Nam, Việt Nam ; Quốc tịch của bạn là gì? - Việt Nam, Việt Nam
Tiếng Anh Lớp 3(Tập 2) :: Hello, what's your name? - My name's Akiko::_ _ n ch_ o, tên _ ậu l_  gì? - Tớ tên là Akiko ; Xin chào, tên cậu là gì? - Tớ tên là Akiko
Tiếng Anh Lớp 3(Tập 2) :: What are you from? - I'm from Japan, Japan::B_ n _ ến t_  đ_ u? - Tớ đến từ Nhật Bản, Nh_ t Bản ; Bạn đến từ đâu? - Tớ đến từ Nhật Bản, Nhật Bản
Tiếng Anh Lớp 3(Tập 2) :: Where in Japan? - Tokyo, Tokyo::Ở đâ_  ở N_ ật _ ả_ ? - Tok_ _ , Tok_ o ; Ở đâu ở Nhật Bản? - Tokyo, Tokyo
Tiếng Anh Lớp 3(Tập 2) :: What nationality are you? - Japanese Japanese::Q_ ốc tịch của b_ n _ à _ ì? - _ h_ t B_ n, _ h_ _  Bả_  ; Quốc tịch của bạn là gì? - Nhật Bản, Nhật Bản
Tiếng Anh Lớp 3(Tập 2) :: Page 18: Unit 3: What day is it today?::_ r_ ng 18: Bài 3: _ ôm _ ay là _ _ _ y gì? ; Trang 18: Bài 3: Hôm nay là ngày gì?
Tiếng Anh Lớp 3(Tập 2) :: Lesson1: Activity1: Look, listen and repeat::Bài 1: _ o_ _  động 1: Nhìn, ngh_  _ à nhắc _ _ i ; Bài 1: Hoạt động 1: Nhìn, nghe và nhắc lại
Tiếng Anh Lớp 3(Tập 2) :: A. Hello class! - Hello miss Hien::A. Xi_  chà_  cả lớp! - Chà_  cô Hiền ; A. Xin chào cả lớp! - Chào cô Hiền
Tiếng Anh Lớp 3(Tập 2) :: B. What day is it today, class? - It's Monday::B. Hôm nay là ng_ y gì, cả lớp? - _ à T_ ứ 2 ; B. Hôm nay là ngày gì, cả lớp? - Là Thứ 2
Tiếng Anh Lớp 3(Tập 2) :: C. Very good, and what do we have on Monday? - We have English::C. Tốt lắ_ , _ à _ húng ta có g_  vào Thứ 2? - Chúng _ a có _ ôn T_ ến_  _ nh ; C. Tốt lắm, và chúng ta có gì vào Thứ 2? - Chúng ta có môn Tiếng Anh
Tiếng Anh Lớp 3(Tập 2) :: D. And when is the next English class? - On Wednesday::D. Và kh_  nà_  th_  _ ới tiế_  Ti_ _ g anh tiếp th_ o? - Thứ 4 ; D. Và khi nào thì tới tiết Tiếng anh tiếp theo? - Thứ 4
