00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
00370	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	Have you seen today's paper? It {{c1::says}} <u>says</u> that the government's going to expand broadband in rural areas.	choiceA;ChoiceB
00380	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	Cole {{c1::scores}} <u>is scoring</u> another three points for England. ...	choiceA;ChoiceB
00390	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	... He {{c1::is playing}} <u>is playing</u> superb rugby during this match.	choiceA;ChoiceB
00400	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	I {{c1::am walking}} <u>walk</u> along the road ...	choiceA;ChoiceB
00410	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	... when all of a sudden this bird {{c1::hits}} <u>hits</u> me in the chest. ...	choiceA;ChoiceB
00420	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	... I {{c1::am only wearing}} <u>only wear</u> a T-shirt ...	choiceA;ChoiceB
00430	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	... and so it {{c1::hurts}} <u>is hurting</u> a lot. ...	choiceA;ChoiceB
00440	Unit 2: Present continuous and present simple 2	Are the underlined verbs correct? If not, correct them with either the present continuous or present simple.	But the bird just {{c1::flies}} <u>flies</u> off unharmed!	choiceA;ChoiceB
00450	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	Will the new wardrobe fit through the front door, I {{c1::wonder}}?	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00460	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	A couple of people have complained about the new working hours, and I {{c1::am wondering}} whether that's a more general view.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00470	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	Come and see me at about three. I {{c1::am usually working / usually work}} in my office at that time.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00480	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	I find I {{c1::usually work}} best early in the morning before everyone arrives.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00490	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	This road {{c1::goes}} all the way to Barcelona.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00500	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	<b>A</b>: Rob will need to be up at about two o'clock in the morning.<br /><b>B</b>: Two o'clock! Usually, he {{c1::is going / goes}} to bed at that time.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00510	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	<b>A</b>: Shall I come round at about eight?<br /><b>B</b>: I {{c1::am generally putting / generally put}} the children to bed at that time. Make it after nine.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00520	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	I {{c1::generally put}} an extra duvet on my bed in really cold weather.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00530	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	My train {{c1::always arrives}} on time, so I'm very happy with the service.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00540	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	I'm going to email Onur's parents. He {{c1::is always arriving / always arrives}} late for school.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00550	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	He's never got any money – he {{c1::is forever borrowing / borrows}} it from other people.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00560	Unit 2: Present continuous and present simple 2	Complete the sentences with the verb forms from the list. Use the same verb for each pair of sentences.	Whenever he {{c1::borrows}} money, he always pays it back straight away.	always arrives;is always arriving;goes;is going;usually work;am usually working;generally put;am generally putting;borrows;is forever borrowing;wonder;am wondering
00570	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	The plane had already left by the time we {{c1::arrived}} at the airport.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00580	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	After you {{c1::have washed}} the windows, can you vacuum the sitting room, please?	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00590	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I'll tidy my room up as soon as I {{c1::have finished}} my homework.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00600	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I {{c1::have seen}} three films this week, so I don't particularly want to see one on Friday as well.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00610	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	<b>A</b>: Are you ready for dinner?<br /><b>B</b>: Yes, please. I {{c1::worked}} so hard in the office this morning that I didn't have any lunch.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00620	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	As soon as I {{c1::started}} the car I realised that something was wrong with the engine.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00630	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	My mother {{c1::phoned}} me three times this morning and then this afternoon she came round to my house.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00640	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I {{c1::have marked}} 20 essays today, but I've still got 5 more before I go to bed.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00650	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	We {{c1::have taken / have had}} one maths exam paper already this morning, and there's another one before lunch.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00660	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I was really surprised to hear that Francesco {{c1::got}} his job through a social networking site.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00670	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I'll have breakfast ready by the time you {{c1::have had / have taken}} a shower.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00680	Unit 3: Past simple and present perfect	Complete the sentences. Use the present perfect or past simple form of a verb from the list.	I {{c1::helped}} James move house this week and he sent me a big bunch of flowers to say 'thank you'.	arrive;finish;get;have;help;wash;mark;phone;see;start;take;work
00690	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	It's the first time I {{c1::have heard}} Mr Brennan shout at anyone since he started teaching at the school.	have heard;heard
00700	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	Since they {{c1::lost}} one-nil to Germany last year, France have won every one of their matches convincingly.	have lost;lost
00710	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	If Lipman doesn’t recover from his injury, it will be the first time he {{c1::has missed}} playing at Wimbledon in the last decade.	has missed;missed
00720	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	Since he's worked here, he {{c1::has never had}} a day off through illness.	has never had;never had
00730	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	It rained every day I {{c1::was}} in Melbourne.	have been;was
00740	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	It's the first time he {{c1::has walked}} to school on his own, so he's a bit nervous.	has walked;walked
00750	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	He hasn't worked since he {{c1::resigned}} from the college over a year ago.	has resigned;resigned
00760	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	You know, that's the first time you {{c1::have said}} you like my cooking.	have said;say
00770	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	She has made a remarkable recovery since she {{c1::left}} hospital a few days ago.	has left;left
00780	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	I've never heard Ken criticise anyone since I {{c1::have known}} him.	have known;knew
00790	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	Here is the news. The Finance Minister {{c1::has announced}} huge cuts in spending on education.	has announced;announced
00800	Unit 3: Past simple and present perfect	Complete the sentences with the correct verb form.	He {{c1::made}} the announcement in a speech to teachers and university lecturers.	has made;made
00810	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	The lesson had already gone on for 20 minutes more than it should and I {{c1::felt / was feeling}} pretty hungry.	felt;was feeling
00820	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Tony hurt his back while he {{c1::was carrying}} a heavy suitcase.	carried;was carrying
00830	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	When the plane arrived the police {{c1::were waiting}} and Michel was immediately arrested.	waited;were waiting
00840	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	They {{c1::ran / were running}} off with my handbag as I was looking the other way.	ran;were running
00850	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	You could tell that Gina didn't really want to leave. She {{c1::waited}} until the last minute before she got on to the train.	waited;was waiting
00860	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Did you know Jack Simons when he {{c1::worked / was working}} here?	worked;was working
00870	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	We {{c1::were watching}} television when there was a power cut.	watched;were watching
00880	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	The old house {{c1::looked / was looking}} very shabby before I had it renovated.	looked;was looking
00890	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I {{c1::quickly closed}} the window when it started to rain.	quickly closed;was quickly closing
00900	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I {{c1::was having}} a shower and didn't hear the phone ring.	had;was having
00910	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Chris {{c1::hated}} going to the dentist when he was a child.	hated;was hating
00920	Unit 4: Past continuous and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	So that I could improve my Spanish before the trip to Barcelona, I {{c1::studied / was studying}} an online course every night after work.	studied;was studying
00930	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	When I asked if she sold eggplants she didn't know what I {{c1::meant}}.	consider;cross;drive;mean;phone;think
00940	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I {{c1::was meaning}} to pay the money back this week, but then I completely forgot about it.	consider;cross;drive;mean;phone;think
00950	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I {{c1::was crossing}} the road when I got hit by a bike.	consider;cross;drive;mean;phone;think
00960	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	The ferry {{c1::crossed}} the river more than 20 times a day before the road bridge was built.	consider;cross;drive;mean;phone;think
00970	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	Mark worked away from home a lot, but he {{c1::phoned}} his family every day.	consider;cross;drive;mean;phone;think
00980	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	When Maria was ill, I {{c1::was phoning / phoned}} her every day to find out how she was.	consider;cross;drive;mean;phone;think
00990	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I {{c1::was considering / considered}} Skyping Maxim and Alisa at the weekend, but then I remembered they're going away.	consider;cross;drive;mean;phone;think
01000	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I {{c1::considered}} that his demands for compensation were totally unreasonable.	consider;cross;drive;mean;phone;think
01010	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I really enjoyed <i>Pompeii</i>. In fact, I {{c1::thought}} it was one of the best historical novels I've ever read.	consider;cross;drive;mean;phone;think
01020	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	I {{c1::was thinking / thought}} of going to Australia at Christmas until I found out how expensive it is.	consider;cross;drive;mean;phone;think
01030	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	During that winter I {{c1::was driving / drove}} to London and back every day.	consider;cross;drive;mean;phone;think
01040	Unit 4: Past continuous and past simple	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the past continuous and once in the past simple.	Karl {{c1::drove}} to Poland three times last month.	consider;cross;drive;mean;phone;think
01050	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	When we {{c1::reached}} <u>reached</u> the car park about two miles from the waterfall ...	choiceA;ChoiceB
01060	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... it {{c1::had already started}} <u>already started</u> raining, so the walk up was pretty unpleasant and we couldn't see the waterfall very well. ...	choiceA;ChoiceB
01070	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	By the time we {{c1::had got back / got back}} <u>had got back</u> to the car ...	choiceA;ChoiceB
01080	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... the rain {{c1::had stopped}} <u>stopped</u> a little. ...	choiceA;ChoiceB
01090	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	But then we {{c1::found}} <u>found</u> that someone ...	choiceA;ChoiceB
01100	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... {{c1::had broken}} <u>broke</u> one of the side windows ...	choiceA;ChoiceB
01110	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... and {{c1::took / had taken}} <u>took</u> my mobile – and our picnic! ...	choiceA;ChoiceB
01120	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	Fortunately, we {{c1::had taken}} <u>took</u> our money and the SATNAV with us to the waterfall. ...	choiceA;ChoiceB
01130	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	We {{c1::drove}} <u>had driven</u> to the nearby town ...	choiceA;ChoiceB
01140	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... where we {{c1::reported}} <u>had reported</u> the theft to the police. ...	choiceA;ChoiceB
01150	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	They {{c1::said}} <u>said</u> that ...	choiceA;ChoiceB
01160	Unit 5: Past perfect and past simple	Are the underlined verbs correct? If not, correct them with the past simple or past perfect.	... there {{c1::had been}} <u>were</u> a lot of thefts in the area recently – and we shouldn't expect to see the mobile or picnic box ever again!	choiceA;ChoiceB
01170	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	She apologised for talking so much and explained that she {{c1::hadn't spoken}} to anyone in days.	hadn't spoken;didn't speak
01180	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	She showed him the letter she {{c1::had received / received}} from her brother.	had received;received
01190	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Adam said that he {{c1::hadn't been}} skiing for over 20 years, but he was still a lot better than me.	hadn't been;didn't go
01200	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Edward claimed that he {{c1::had lost / lost}} his homework on the way to school.	had lost;lost
01210	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	When she said the famous Oliver Barnsley would be at the meeting, I had to admit that I {{c1::had never heard}} of him.	had never heard;never heard
01220	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	When it was time to go home I found that someone {{c1::had stolen}} my bicycle.	had stolen;stole
01230	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	After all the guests {{c1::had left / left}} we started to clear up the house.	had left;left
01240	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	Nadia said that she {{c1::had broken / broke}} my iPod by accident and offered to buy me a new one.	had broken;broke
01250	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I went to the fridge to get some milk, but someone {{c1::had drunk}} it all.	had drunk;drank
01260	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I wanted to meet Mr De Jong because he {{c1::had known / knew}} my grandfather during the war.	had known;knew
01270	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	I was certain that I {{c1::had seen / saw}} Rebecca at the hockey match, even though she said was at home.	had seen;saw
01280	Unit 5: Past perfect and past simple	Complete the sentences with the correct verb form. If both forms are correct, choose both.	After driving for another few miles, we realised that we {{c1::had taken}} the wrong road.	had taken;took
01290	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	Megan {{c1::has been putting}} a lot more effort into her flute practice recently and is starting to make really good progress.	finish;clean;play;put;see;stay
01300	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	There have been a lot of burglaries in the area recently, so now we {{c1::have put}} locks on all of our windows.	finish;clean;play;put;see;stay
01310	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	Tom's company has got an important job to finish by the end of the month. He {{c1::has stayed}} at work until after ten o'clock three days this week already.	finish;clean;play;put;see;stay
01320	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	Marie has been in Stockholm for a few weeks now. She {{c1::has been staying / has stayed}} with her friend Inga while she's there.	finish;clean;play;put;see;stay
01330	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	I {{c1::have been seeing / have seen}} a physiotherapist for a couple of years – ever since I broke my wrist.	finish;clean;play;put;see;stay
01340	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	We reached the top of the hill as the sun began to disappear beneath the horizon. It was one of the most spectacular sunsets I {{c1::have seen}} in my whole life.	finish;clean;play;put;see;stay
01350	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	<b>A</b>: Where have you been all day?<br /><b>B</b>: I {{c1::have been finishing}} my homework.	finish;clean;play;put;see;stay
01360	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	<b>A</b>: You're looking pleased with yourself.<br /><b>B</b>: Yes, I {{c1::have finished}} my last exam and I'm going on holiday tomorrow.	finish;clean;play;put;see;stay
