CH001-00010b	Her name is Lisa.
CH016-02420b	A:  Are you hungry?    B:  No, Yes, I am.
CH016-02430b	A:  Is Tom here?    B:  Yes, he is in his office.
CH016-02440b	A:  What time are Laura and Paul coming?    B: About 10 o'clock.
CH016-02450b	It’s 9 o’clock and Anna hasn't stop working yet.
CH016-02460b	A:  John, this is Emma.    B:  Hi, Emma. Nice to meet you.
CH016-02470b	A:  Are Laura and Paul here?    B: Yes, they are.
CH016-02480b	A:  Does James know that you’re going away?    B:  Yes, he does. 
CH016-02490b	Silvia has bought a new book, but she hasn’t read it yet.
CH016-02500b	A:  Have Laura and Paul arrived yet?    B:  No, not yet. They are on their way..
CH016-02510b	A:  Has Nicola started her new job yet?    B:  Yes, she has.
CH016-02520b	A:  This is my new sweater.    B:  Oh, it’s nice. Have you worn it yet?
CH017-02530b	Have you been to Rome?    Yes, I have. Two times.
CH017-02540b	Have you ever been to Japan?    Yes, I have. Many times.
CH017-02550b	‘Have you been to France?’     ‘Yes, I have’
CH017-02560b	I’ve been to Canada and the United States.  
CH017-02570b	Mary is an interesting person.  She has had many different jobs and has travelled to many places.  
CH017-02580b	I’ve seen that man before, but I can’t remember her name.
CH017-02590b	How many times has Germany won the World Cup?
CH017-02600b	‘Have you read this book?’     ‘No, never.’
CH017-02610b	‘Has Ann ever been to Australia?’      ‘No, never.’
CH017-02620b	‘Have you ever played golf?’      ‘No, never’ 
CH017-02630b	My sister has ever travelled by plane. 
CH017-02640b	I’ve never ridden a bicycle.
CH017-02650b	‘Who is that man?’      ‘He is Steve. He lives near here.’  
CH017-02660b	Where’s Ben?   He has gone off.
CH017-02670b	Ben hasn't gone to Spain.
CH017-02680b	Hello, Ben.    Hi. I’ve been to the meeting. I’ve been to Spain. 
CH017-02690b	Ben hasn't been to Spain.
CH017-02700b	I'm looking for Suran.  Where has she gone?
CH017-02710b	Oh, hello Susan!  I couldn't find you.  Where have you been?
CH018-02720b	How long has she worked in Ireland?
CH018-02730b	She has stayed in Ireland since Monday.  
CH018-02740b	Dan and Kate are married.    They have been married since 2010.
CH018-02750b	Do you work here?    How long have you worked here? 
CH018-02760b	Do you know Lisa?    Have you ever worked with here? 
CH018-02770b	I know Lisa.    We’ve lived in the same flat for a long time.
CH018-02780b	Vicky lives in London.    How long has she lived in London?    She has lived there since 2010. 
CH018-02790b	I have a car.    How long have you had your car?   My father gave it to me in April.
CH018-02800b	I’m learning German.    How long have you been learning German?    I’ve been learning German since last month.
CH018-02810b	David is reading a book.    How long has he been watching TV?    He’s been reading a book  since 5 o’clock. 
CH018-02820b	It’s raining.    It’s been raining all night. 
CH019-02830b	Helen is in Ireland. She has been there since Monday. 
CH019-02840b	Richard has studied in Canada for six months. 
CH019-02850b	Richard has been in Canada for 6 months.
CH019-02860b	We’ve been watching TV for two hours.
CH019-02870b	They’ve been reading since 9 o’clock.
CH019-02880b	I’ve worked  in London for a long time.
CH019-02890b	I’ve lived in London for 10 years.
CH019-02900b	Susan bought her new car three weeks ago. 
CH019-02910b	‘When did Tom get home?’     ‘Ten minutes ago.’  
CH019-02920b	I didn't have dinner.
CH019-02930b	Education was very different a hundred years ago. 
CH019-02940b	When did Helen arrive in Ireland?    She arrived in Ireland since Tuesday. 
CH019-02950b	How long has she been in Ireland?    She has been in Ireland since she got her job.
CH020-02960b	I didn't see Paula yesterday.
CH020-02970b	Who were you with on Sunday morning?
CH020-02980b	We  have a holiday last year. 
CH020-02990b	‘Where were you do last night?’     ‘I stayed at home.’
CH020-03000b	Isaac Newton lived from 1642 to 1726.  He was a physicist. He formulated the laws of motion. 
CH020-03010b	Where did you buy your computer?
CH020-03020b	Where did Andy go?
CH020-03030b	I have sent the letter.
CH020-03040b	I sent the letter last week.
CH020-03050b	Ben hasn't gone home.
CH020-03060b	Ben didn't go home.
CH020-03070b	Haven't you see kate?
CH020-03080b	Have you seen Kate since Saturday?
CH020-03090b	Were you in Spain?
CH020-03100b	Have you been in Spain since last year?
CH020-03110b	My grandfather was a writer. He wrote many books. 
CH020-03120b	Shakespeare  wasn't an inventer. He didn't invent anything.
CH020-03130b	Sam hasn just phoned me.
CH020-03140b	Sam hasn't phoned me since yesterday.
CH020-03150b	We’ve lived in Singapore since 2010.
CH020-03160b	We hasn't lived in Glasgow and now we live in Singapore.  
CH021-03170b	Somebody doesn't clean the office every day.
CH021-03180b	The office isn't cleaned every day.
CH021-03190b	Somebody didn't clean the office yesterday. 
CH021-03200b	The office wasn't cleaned yesterday.
CH021-03210b	Cake is made from flour.
CH021-03220b	Oranges aren't imported into Britain.
CH021-03230b	When did these rooms be cleaned?
CH021-03240b	I am always invited to parties.
CH021-03250b	This house wasn't built 100 years ago.
CH021-03260b	These houses weren't built 100 years ago.
CH021-03270b	Who invented the telephone?
CH021-03280b	We were invited to the party last week.
CH021-03290b	‘Was anybody injured in the accident?’     ‘No-one was injured’
CH021-03300b	I wasn't born in Berlin.
CH021-03310b	‘When were you born?’      ‘In 1990.’
CH021-03320b	Alexander Bell invented the telephone in 1876. 
CH021-03330b	I wasn't bitten by a dog a few days ago. 
CH021-03340b	Do you like these paintings? A friend of mine painted them. 
CH022-03350b	The door is being painted.
CH022-03360b	Somebody is painting the door.
CH022-03370b	My car is at the garage. The mechanic is repairing it.
CH022-03380b	People are building houses opposite the park. 
CH022-03390b	The office is cleaned every day but it isn't being cleaned at the moment.   
CH022-03400b	Football matches are often played at the weekend and may matches are being played next weekend.  
CH022-03410b	Somebody hasn't painted the door.
CH022-03420b	The door hasn't been painted.
CH022-03430b	My key hasn't been stolen.
CH022-03440b	My keys haven't been stolen.
CH022-03450b	I’m going to the party. I have just been invited.
CH022-03460b	This shirt has been washed.
CH022-03470b	The room is still dirty.  It hasn't been cleaned. 
CH022-03480b	I can’t find my keys. I think Steve have had them.  They were taken last week. 
CH023-03490b	Please be quiet.  I’m listening to the radio.
CH023-03500b	It isn’t cold at the moment.
CH023-03510b	What are you reading this evening?
CH023-03520b	I was working when she phoned me.
CH023-03530b	It wasn’t cold, so we didn’t need any sweaters.
CH023-03540b	Where were you at 3 o’clock?
CH023-03550b	I was invited to paties.
CH023-03560b	Cake are made from flour.
CH023-03570b	These offices are cleaned every day. 
CH023-03580b	The office wasn't cleaned yesterday.
CH023-03590b	Were these houses built 100 years ago?
CH023-03600b	When was the window broken?
CH023-03610b	When were you born?
CH023-03620b	I haven't cleaned my room yet.
CH023-03630b	Tom didn't lose his passport.
CH023-03640b	Kate has been to Canada.
CH023-03650b	Where have Paul and Emma been?
CH023-03660b	I don't like coffee and tea.
CH023-03670b	Chris oftent go out.
CH023-03680b	What do you usually do at home?
CH023-03690b	Does Sam work alone?
CH023-03710b	It didn’t rain last night.
CH023-03700b	I watched TV yesterday.
CH023-03720b	Where did Paul and Emma go ?
CH024-03730b	I din't clean my room yesterday.
CH024-03740b	Chris didn't study engineering at university.
CH024-03750b	I haven't cleaned my room.
CH024-03760b	Has Tima lived in London for ten years?
CH024-03770b	Are these rooms are cleaned every day?
CH024-03780b	My car has been repaired yet.
CH024-03790b	I didn't make a cake yesterday.
CH024-03800b	I haven't made some coffee yet.
CH024-03810b	Cars is made from iron.
CH024-03820b	Nobody broke this window last night.
CH024-03830b	Somebody hasn't broken this window yet.
CH024-03840b	This window wasn't broken last night
CH025-03850b	They are playing tennis.
CH025-03860b	He isn't playing tennis tomorrow.
CH025-03870b	‘Are Tina and Helen going swimming?’    ‘No, they’re playing tennis in the park.’ 
CH025-03880b	Please be quiet.  I’m reading.
CH025-03890b	Andrew isn't playing tennis tomorrow.
CH025-03900b	I’m working next week.
CH025-03910b	Sophie is going to the doctor on Friday.   she has an appointment with the doctor
CH025-03920b	We’re not having a party next Friday.
CH025-03930b	I am meeting my friends tonight.
CH025-03940b	Are you watching TV tomorrow moring?
CH025-03950b	I’m going out tonight.  I’m seeing my friend. 
CH025-03960b	I’m not staying at home this evening. 
CH025-03970b	I am going out tonight.
CH025-03980b	Lisa is coming to the party next week. 
CH025-03990b	The train didn't arrive.
CH025-04000b	What time does the film start?
CH025-04010b	I’m not going to a concert tomorrow.
CH025-04020b	The concert started at 7.30.
CH025-04030b	What time did you leave?
CH025-04040b	What time does your train arrive?
CH026-04050b	She isn't  going to watch TV this evening.
CH026-04060b	I’m not going to buy any books tomorrow.
CH026-04070b	Sarah isn't going to sell her car.
CH026-04080b	I’m going to have breakfast this morning.  I’m  hungry.
CH026-04090b	Are you going to wear  a blue suit  at the wedding next week?
CH026-04100b	‘Your shoes are dirty.’    ‘Yes, I know.  I’m going to wash them.’
CH026-04110b	I'm going to invite Mark to my party.
CH026-04120b	I am not playing tennis with Julia tomorrow. 
CH026-04130b	Look at that man!  He's going to fall down.
CH026-04140b	Oh dear!  It’s 8 o’clock and I’m ready. I’m not going to be late.
CH027-04150b	It is 7 o’clock now.  Sarah isn't at work.
CH027-04160b	At 11 o’clock yesterday, Sarah wasn't at work. 
CH027-04170b	At 11 o’clock tomorrow, Sarah won't be at work. 
CH027-04180b	Sue travels a lot.  Today she is in Madrid.  Tomorrow she’ll be in Rome. Next week she’ll be in London. 
CH027-04190b	Don't call me this evening.  I won't  be at home.
CH027-04200b	Leave your money on the table.  The waiter will take it..
CH027-04210b	We probably  won't go out this evening. 
CH027-04220b	I won't be at home this evening?
CH027-04230b	I will be here tomorrow.
CH027-04240b	Don’t drive the car too fast. You may have an accident.
CH027-04250b	I don't think Kelly will pass the exam.
CH027-04260b	I think it will rain this afternoon.
CH027-04270b	I think the exam will be difficult. 
CH027-04280b	We’re not going to the cinema on Saturday.  We are going to the beach.
CH027-04290b	I’m working tomorrow.
CH027-04300b	I am going to do the exam.
CH027-04310b	I shan't be late tomorrow.   or   I won't be late tomorrow.
CH027-04320b	I don't think we shall win.   or   I don't think we will  win.
CH027-04330b	Tom won't be late.
CH028-04340b	My bag isn't  heavy.    You needn't help me.
CH028-04350b	‘I’ll phone you tomorrow, OK?’     ‘Sorry, I'm busy. Could you phone me tonigh?’
CH028-04360b	I’m not tired.  I think I’ll read a book tonight.
CH028-04370b	It’s a terrible day.  I don't think I’ll sit outside.
CH028-04380b	It’s raining.  I think I’ll stay home.
CH028-04390b	I won't phone you tomorrow.
CH028-04400b	I don't think I’ll go to bed early.
CH028-04410b	Are yo working tomorrow?
CH028-04420b	I still use my car.  I’m not going to sell it. 
CH028-04430b	Where are you going at the weekend?
CH028-04440b	A: That’s the doorbell.  Shall I go?   B: Of course, thank you.
CH028-04450b	It’s very cold in this room.  Shall I close the window?
CH028-04460b	‘Shall I phone you this evening?’      ‘Sorry, I'm busy. Can you call me next morning?’
CH028-04470b	I’m going to a party tonight.  Would you like to come with me?
CH028-04480b	It’s a nice day.  Shall we go out tonight?
CH028-04490b	Shall we go for our holidays this year?
CH028-04500b	‘Let’s go to see a movie this evening.’      ‘OK, what time shall we meet?’
CH029-04510b	He might not go to New York.
CH029-04520b	It might not rain.
CH029-04530b	I might not go to the cinema this evening because I'm quite busy.. 
CH029-04540b	A:  "Who is Rebecca going to phone?    B:  I don’t know.  It might be Steve.  
CH029-04550b	You don't have to take an umbrella.  It isn't going to rain.
CH029-04560b	Don't buy a lottery ticket. It's very expensive.
CH029-04570b	A:  Would you like to go to the party tonight?    B : I might.
CH029-04580b	I’m not playing tennis tomorrow. I might not play tennis tomorrow. 
CH029-04590b	Rebecca isn't  going to phone.   Rebecca might not phone . 
CH029-04600b	I might go to work tomorrow.
CH029-04610b	Sue might come to the party.
CH029-04620b	I may not go to the cinema this evening.
CH029-04630b	Sue may come to the party.
CH029-04640b	I may ask you a question.
CH029-04650b	‘May I sit here?’     ‘Sorry, this is David's.’
CH030-04660b	He can't play the piano.
CH030-04670b	I can play the piano but myy brother can't.
CH030-04680b	Sarah can speak both Italian and Spanish.  
CH030-04690b	A:  Can you swim?    B:  Yes, I’m also a very good swimmer.
CH030-04700b	A:  Can you change twenty pounds?    B:  Of course. How do you want it?
CH030-04710b	I’m having a party next week, and Paul and Rachel can come.  
CH030-04720b	When I was young, I could swim very fast.
CH030-04730b	Before Maria came to Britain, she couldn’t read much English.  Now she can read everything.
CH030-04740b	I was tired last night, and I  I slept well.
CH030-04750b	Did Paul and Rachel came to your party last week? No, they couldn't come. 
CH030-04760b	Can you open the window, please?    or   Could you open the window, please?
CH030-04770b	Can you sit here, please?      or     Could you sit here please?
CH030-04780b	Can I have a glass of wine, please?    or   Can I get a glass of wine?
CH030-04790b	Can I sleep here?
CH030-04800b	Tom, could I borrow your pen?
